timestamp,pages_fetched,pages_total,gone,redir_temp,redir_perm,crawl_start,crawl_end,duration_sec
20:58:56,0,0,0,0,0,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
20:59:04,0,1,0,0,0,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
20:59:11,1,83,0,0,0,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
20:59:18,1,83,0,0,0,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
20:59:26,1,83,0,0,0,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
20:59:33,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
20:59:40,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
20:59:48,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
20:59:55,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:00:02,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:00:09,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:00:16,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:00:24,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:00:31,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:00:38,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:00:45,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:00:52,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:00:59,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:01:06,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:01:14,67,1118,5,0,11,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:01:21,767,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:01:28,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:01:36,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:01:43,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:01:50,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:01:58,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:02:05,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:02:13,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:02:20,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:02:27,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:02:35,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:02:42,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:02:49,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:02:56,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:03:03,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:03:11,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:03:18,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:03:25,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:03:32,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:03:39,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:03:46,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:03:54,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:04:01,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:04:08,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:04:15,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:04:22,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:04:30,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
21:04:37,757,8564,49,19,205,2026-01-30 20:58:56.649472,2026-01-30 21:18:22.578435,1165.928960800171
